comment_id,trait,annotator_1,annotator_2,annotator_3,majority_vote
1,Lack of specification,0,0,,0
2,Lack of specification,1,0,0.0,0
3,Lack of specification,1,1,,1
4,Lack of specification,0,0,,0
5,Lack of specification,0,0,,0
6,Lack of specification,0,0,,0
7,Lack of specification,1,0,0.0,0
8,Lack of specification,0,0,,0
9,Lack of specification,0,0,,0
10,Lack of specification,0,0,,0
11,Lack of specification,0,0,,0
12,Lack of specification,0,0,,0
13,Lack of specification,1,1,,1
14,Lack of specification,0,0,,0
15,Lack of specification,0,0,,0
16,Lack of specification,0,0,,0
17,Lack of specification,0,0,,0
18,Lack of specification,1,1,,1
19,Lack of specification,0,0,,0
20,Lack of specification,0,0,,0
21,Lack of specification,0,0,,0
22,Lack of specification,0,0,,0
23,Lack of specification,0,0,,0
24,Lack of specification,1,1,,1
25,Lack of specification,1,1,,1
26,Lack of specification,0,0,,0
27,Lack of specification,0,0,,0
28,Lack of specification,1,1,,1
29,Lack of specification,0,0,,0
30,Lack of specification,0,0,,0
31,Lack of specification,0,0,,0
32,Lack of specification,0,1,0.0,0
33,Lack of specification,1,1,,1
34,Lack of specification,0,0,,0
35,Lack of specification,0,0,,0
36,Lack of specification,1,1,,1
37,Lack of specification,0,0,,0
38,Lack of specification,1,1,,1
39,Lack of specification,0,0,,0
40,Lack of specification,1,1,,1
41,Lack of specification,0,1,0.0,0
42,Lack of specification,0,1,0.0,0
43,Lack of specification,0,0,,0
44,Lack of specification,0,0,,0
45,Lack of specification,1,1,,1
46,Lack of specification,0,0,,0
47,Lack of specification,0,0,,0
48,Lack of specification,0,0,,0
49,Lack of specification,0,1,1.0,1
50,Lack of specification,0,0,,0
51,Lack of specification,0,0,,0
52,Lack of specification,1,1,,1
53,Lack of specification,1,0,1.0,1
54,Lack of specification,1,0,0.0,0
55,Lack of specification,1,1,,1
56,Lack of specification,0,0,,0
57,Lack of specification,0,0,,0
58,Lack of specification,0,0,,0
59,Lack of specification,0,0,,0
60,Lack of specification,0,0,,0
61,Lack of specification,0,0,,0
62,Lack of specification,0,0,,0
63,Lack of specification,0,0,,0
64,Lack of specification,0,0,,0
65,Lack of specification,1,1,,1
66,Lack of specification,1,1,,1
67,Lack of specification,1,1,,1
68,Lack of specification,0,0,,0
69,Lack of specification,1,1,,1
70,Lack of specification,0,0,,0
71,Lack of specification,0,0,,0
72,Lack of specification,1,1,,1
73,Lack of specification,0,0,,0
74,Lack of specification,0,0,,0
75,Lack of specification,0,0,,0
76,Lack of specification,0,0,,0
77,Lack of specification,0,0,,0
78,Lack of specification,0,0,,0
79,Lack of specification,0,0,,0
80,Lack of specification,1,1,,1
81,Lack of specification,0,0,,0
